,genres,id,release_date,title,vote_average
27344,Drama,77845,2002-04-12,Lone Hero,0
32176,Romance,171873,2012-03-05,Unter Umständen verliebt,0
27639,Drama,94563,2012-03-05,The Woodcarver,0
29499,Drama,21383,2009-04-17,The Butterfly Tattoo,0
43416,Documentary,358694,2015-09-24,Little Angels,0
33419,Comedy,48426,2004-08-18,The Pleasure Is All Mine,0
2164,Comedy,193103,1998-06-11,Somewhere in the City,0
13558,Drama,330711,2000-01-01,One Kill,0
32146,Comedy,135697,1957-01-01,K.O. Miguel,0
29433,Animation,246654,2000-01-01,Géraldine,0
32261,Drama,124523,1979-06-01,Joni,0
22417,Crime,101740,1971-09-11,Inn of Evil,0
44409,Drama,348853,2002-04-30,The Model Solution,0
17510,Drama,47116,1979-03-09,The Winner,0
23450,Western,176670,1957-05-04,Shoot-Out At Medicine Bend,0
24622,Drama,253959,1979-03-10,The Love of the Three Pomegranates,0
14092,Romance,184781,1979-03-14,Voices,0
25241,Drama,191186,1957-05-02,The Living Idol,0
15035,Documentary,40855,2009-06-12,Sex Positive,0
38326,Science Fiction,277098,2002-05-12,Battle Fairy Yukikaze,0
19914,Drama,232005,1971-10-03,Jude the Obscure,0
18903,TV Movie,284694,1979-04-02,The Scarlet Letter,0
41857,Drama,287790,1957-05-01,"Bailout at 43,000",0
39602,Science Fiction,257006,1979-04-04,Encounters in the Deep,0
33581,Romance,91001,2012-02-14,The Marriage Chronicles,0
36821,Comedy,143959,2012-02-20,Ricky Rapper and Cool Wendy,0
37339,Documentary,169877,2012-02-22,Bovines,0
30106,Drama,155797,1979-04-13,"Good Luck, Miss Wyckoff",0
28801,Comedy,252714,1971-09-22,"Congratulations, It's a Boy!",0
23712,Drama,80264,1957-04-12,The Strange One,0
29704,Action,98297,2000-01-01,Green Sails,0
41960,Documentary,169840,2009-06-01,Good Fortune,0
32657,Music,261884,2009-06-01,Memory Vague,0
40991,Fantasy,104044,1989-04-28,Roller Blade Warriors: Taken by Force,0
28598,Crime,195020,1979-05-05,Gardenia,0
18851,Documentary,86455,2009-05-22,"The Cartoonist: Jeff Smith, BONE and the Changing Face of Comics",0
32815,Documentary,285460,2014-06-14,Limited Partnership,0
23954,Western,292294,1957-03-31,The Phantom Stagecoach,0
31282,Drama,96995,1998-07-19,A Change of Heart,0
14834,War,45988,2009-05-18,1066: The Battle for Middle Earth,0
164,Drama,259209,1995-10-12,Feast of July,0
32210,Romance,30428,2009-05-16,Romantic Prelude,0
29041,Action,22489,2004-05-06,Last Flight Out,0
36720,Drama,70503,2009-04-02,Crepuscule,0
16841,Documentary,109326,2009-08-21,X-Games The Movie,0
36998,Drama,21822,2009-08-28,Y.M.I. - Yeh Mera India,0
31122,Drama,279692,1992-01-06,Murder Without Motive: The Edmund Perry Story,0
29366,Drama,52681,1978-01-06,30-Sep-55,0
42494,Comedy,380282,2015-07-01,Peacock,0
29043,Crime,264098,1978-01-09,Superdome,0
2967,Documentary,159569,1998-10-14,Home Page,0
45313,Drama,369444,1989-10-27,Ostatni dzwonek,0
19877,Documentary,288296,1998-10-10,The Footprints of a Spirit,0
23648,Drama,88061,1963-01-01,"So Evil, So Young",0
20188,Comedy,83215,1972-01-01,Fragments of an Alms-Film,0
35179,Documentary,186121,2009-10-22,The Pit,0
18969,Drama,288165,1978-02-08,Safrana or Freedom of Speech,0
16767,Drama,305656,1994-10-16,Lakota Woman: Siege at Wounded Knee,0
29527,Drama,118762,2009-10-20,Our Brief Eternity,0
23774,History,279414,2014-07-24,Once My Mother,0
14629,Comedy,147683,1978-02-12,"The Prophet, the Gold, and the Transylvanians",0
31690,Thriller,290672,1998-10-05,Detour,0
29580,Romance,63187,1972-01-01,The Sinner,0
43541,Documentary,455363,1958-01-01,The Rise and Fall of a Jungle Giant,0
40538,Mystery,405265,2015-07-06,Nightlife,0
18755,Drama,229670,1978-02-24,Manrape,0
16902,Drama,68629,2002-06-08,Happy Here and Now,0
22910,Documentary,86381,2009-10-14,Tell Them Anything You Want: A Portrait of Maurice Sendak,0
30352,Documentary,87851,2009-10-14,New Muslim Cool,0
37404,Drama,211158,2009-10-14,Ein Teil von mir,0
42736,Comedy,348601,2015-07-11,Bridget Everett: Gynecological Wonder,0
14608,Action,35148,2009-10-13,Playmobil: The Secret of Pirate Island,0
44619,Documentary,311282,2009-10-13,I Know a Woman Like That,0
35900,Comedy,282768,2014-07-19,Maicol Jecson,0
26137,Science Fiction,292133,1978-02-17,Battle of the Stars,0
35670,Documentary,48848,1972-01-01,12 Dicembre,0
21894,Documentary,153196,2009-10-31,Rosas Höllenfahrt,0
37212,Drama,80608,2002-06-13,Naked Paradise,0
42933,Comedy,273848,1962-11-26,The Amorous Prawn,0
25996,Drama,115520,2004-01-24,Lili's Apron,0
31323,TV Movie,26599,1992-01-01,Duel of Hearts,0
42734,Comedy,345176,2015-06-17,Susan Calman: Lady Like,0
1457,Drama,24645,1992-01-01,The Turning,0
30043,Comedy,186634,1992-01-01,Kung Fu Rascals,0
726,Comedy,124613,1995-08-23,Brothers in Trouble,0
33499,Comedy,20430,2004-01-29,Meet Market,0
31998,Documentary,190148,2011-12-19,Forks Over Knives Presents: The Engine 2 Kitchen Rescue,0
18633,Animation,98096,2009-11-20,Live Music,0
37231,Foreign,71587,2009-11-19,The Snowman,0
33917,Crime,260886,1977-11-24,Could It Happen Here?,0
45056,Action,194097,1977-11-30,The Perfect Killer,0
19315,Action,458428,2009-11-01,Operación Cannabis,0
20583,Documentary,190167,2009-11-15,9500 Liberty,0
35351,Science Fiction,125464,1977-12-04,A Cosmic Christmas,0
19612,Drama,131837,1962-12-03,The Reluctant Saint,0
30333,Crime,260899,1977-12-15,La banda Vallanzasca,0
21254,Documentary,101609,2009-11-12,Pax Americana and the Weaponization of Space,0
28870,Action,50295,1989-11-10,Crack House,0
17941,Animation,147105,1972-02-21,The Enchanted World of Danny Kaye: The Emperor's New Clothes,0
43068,Documentary,128892,1962-12-07,9 Dalmuir West,0
43329,Documentary,453062,1992-01-01,Role Play: Women on Fassbinder,0
22341,Comedy,222413,1972-02-17,Hellyys,0
1370,Drama,55146,1995-08-29,Hearts and Minds,0
5487,Comedy,44635,2002-06-15,Just a Kiss,0
19575,Documentary,288421,1989-11-03,Making 'Do the Right Thing',0
27611,Drama,260884,1972-02-04,Chronicle of a Homicide,0
17350,Documentary,114514,1977-12-01,Who Are the DeBolts? And Where Did They Get Nineteen Kids?,0
31504,Drama,348507,1992-01-14,Breaking the Silence,0
17360,Comedy,65509,2004-03-03,See This Movie,0
27167,Animation,51800,2009-10-08,The Dolphin: Story of a Dreamer,0
9381,Drama,25334,2004-04-23,Wondrous Oblivion,0
39074,Comedy,364831,2015-07-29,Art of the Prank,0
1010,Documentary,117036,1995-09-13,Synthetic Pleasures,0
15536,Documentary,37098,2009-09-07,The Last Truck: Closing of a GM Plant,0
35937,Drama,76775,1957-10-18,Lovers of Paris,0
3070,Drama,104878,1998-09-11,Trans,0
2696,Horror,126152,1998-09-10,With Friends Like These...,0
18062,Action,22396,1978-08-04,"China 9, Liberty 37",0
42760,Comedy,281590,2014-07-11,Kurt Metzger: White Precious,0
32964,Horror,84418,1972-01-01,Asylum of Satan,0
41309,Documentary,148318,2004-04-27,What Remains of Us,0
23404,Documentary,182848,1999-12-02,Welcome to Australia,0
10477,Romance,182097,2002-06-06,God's Sandbox,0
35603,Drama,211354,2012-01-03,Public Enemies,0
27188,Drama,111477,1957-10-05,The Helen Morgan Story,0
28966,Documentary,167161,2009-09-04,Playground,0
32755,Drama,180759,2012-01-06,Nice Guy,0
37971,Action,277690,2014-07-09,Yasmine,0
35955,Drama,163312,2009-09-01,The Forest,0
39686,Documentary,207558,1992-01-29,Color Adjustment,0
28717,Drama,295058,2014-07-07,The Tree,0
15244,Comedy,253232,1971-12-29,Tora-san's Love Call,0
28599,Action,230606,1978-09-23,Pigs with a P.38,0
28498,Documentary,113300,1971-12-29,A Blank on the Map,0
28690,Drama,71507,2004-05-03,Jailbait,0
9830,Documentary,77120,2004-05-05,A League of Ordinary Gentlemen,0
23842,Drama,204213,1957-09-13,An Eye for an Eye,0
35695,Romance,376358,2012-01-06,The Son of an Afghan Farmer,0
25370,Drama,260893,1978-09-07,L'arma,0
16659,Drama,65898,1978-07-27,The Suspended Vocation,0
29829,Comedy,190795,2014-07-16,Two Hundred Thousand Dirty,0
19074,Music,379689,1999-12-01,Alcina,0
18540,Comedy,63217,2009-10-06,At Home by Myself... with You,0
31841,Comedy,123224,2012-01-01,Felipe Esparza: They're Not Gonna Laugh At You,0
29794,Documentary,54466,2009-10-06,Dirty Business,0
750,Drama,124633,1995-09-09,Someone Else's America,0
22297,Comedy,45241,1963-01-01,"Take Her, She's Mine",0
43543,Documentary,455368,2009-10-03,David Lean and His Dedicated Maniacs,0
41622,Documentary,185644,2004-03-11,The End,0
40509,Drama,47413,2004-03-12,After the Apocalypse,0
41856,Documentary,347702,2015-07-20,Packed In A Trunk: The Lost Art of Edith Lake Wilkinson,0
7197,Comedy,266687,2004-03-12,Games People Play,0
21691,Fantasy,448538,2009-10-01,Rocaterrania,0
17067,Foreign,128990,2009-10-01,Cooking up dreams,0
36289,Documentary,282084,2014-07-18,There's No Place Like Utopia,0
13186,Thriller,126754,1989-09-27,The Forgotten One,0
25898,Documentary,187156,2009-09-30,Jean-Luc Cinema Godard,0
44599,Fantasy,84493,1978-05-03,Metamorphoses,0
7903,Drama,207625,1998-09-13,Such a Long Journey,0
45067,Drama,49492,2009-09-25,Jogwa - The Awakening,0
37009,Documentary,149326,1972-01-01,Ape and Super-Ape,0
39672,Thriller,47535,2009-09-25,U Be Dead,0
18329,Crime,116537,2009-09-23,On Thin Ice,0
7837,Thriller,205481,2002-06-06,The Intended,0
30360,Drama,79750,1972-01-01,The Assassin of Rome,0
13908,Family,51302,1972-01-01,The Muppet Musicians of Bremen,0
645,Drama,124625,1995-09-12,My Mother's Courage,0
1076,Crime,146341,1995-09-12,Bird of Prey,0
18890,Comedy,328918,1957-11-01,Slim Carter,0
31411,Action,259075,1978-06-28,Cave of the Sharks,0
38347,Action,80394,2004-04-06,Galerions Rion,0
3172,Comedy,279444,1999-12-03,Soft Toilet Seats,0
45000,Documentary,464819,1992-01-01,The Making of 'The Terminator': A Retrospective,0
27419,Drama,168295,1963-08-10,Legend of a Duel to the Death,0
42742,Comedy,366692,2015-09-25,Margaret Cho: PsyCHO,0
14055,Documentary,85097,2008-11-20,The Matador,0
42407,TV Movie,373514,1970-11-20,Night Chase,0
25804,Documentary,81586,2008-11-14,Vincent: A Life in Color,0
35061,TV Movie,348150,2015-11-21,Jim Henson’s Turkey Hollow,0
43300,Documentary,157837,2012-06-12,From the Sea to the Land Beyond,0
41640,Drama,257487,2014-04-11,Inevitable,0
22049,Action,70224,1956-01-01,The Curse of the Oily Maniac,0
36730,Science Fiction,312399,2002-01-01,Toy Reanimator,0
21891,Drama,468343,1956-01-01,Silja - nuorena nukkunut,0
34953,Drama,29539,1981-01-01,Emmanuelle in Soho,0
1485,Drama,124642,1995-12-27,To Have (Or Not),0
1692,Drama,320011,1998-03-06,Men with Guns,0
20774,Documentary,140448,2012-06-15,Downeast,0
29174,Drama,210777,1980-12-15,Tell Me a Riddle,0
1691,Documentary,83593,1998-03-04,A Paralyzing Fear: The Story of Polio in America,0
13861,Documentary,183871,1998-03-01,Mumia Abu-Jamal: A Case for Reasonable Doubt?,0
21768,Comedy,423078,1970-11-13,Narrien Illat,0
25533,Comedy,177043,1970-11-13,Flap,0
37889,Comedy,144852,1955-12-25,Dig That Uranium,0
44903,Romance,446345,2015-12-01,La révolution n'est pas un dîner de gala,0
29804,Documentary,264471,2014-04-06,Farmland,0
36041,Science Fiction,320181,2014-10-28,The Perfect 46,0
5636,Horror,29072,1981-01-01,Night of the Zombies,0
39972,Animation,260916,1981-01-01,Invaders from the Deep,0
18647,Comedy,202941,1964-03-10,Mail Order Bride,0
25598,Science Fiction,280495,1992-08-21,Deceit,0
35536,Comedy,98440,2008-11-04,Thou Shalt Laugh 3,0
45452,Documentary,276895,1981-01-01,Deep Hearts,0
15528,Documentary,20996,2008-11-11,Smashing Pumpkins: If All Goes Wrong,0
26784,TV Movie,96131,1970-11-10,Tribes,0
21892,History,81538,2004-12-10,Watermarks,0
20764,Drama,417399,1970-11-27,The Castle of Cloads,0
12028,Drama,81700,2004-11-20,The Wool Cap,0
17407,Documentary,262296,1971-01-01,Acadia Acadia?!?,0
24797,Comedy,73997,1998-04-17,David Spade: Take the Hit,0
40565,Documentary,366864,2015-11-05,Spandex Sapiens,0
29569,Documentary,266689,2014-04-18,Vanishing Pearls: The Oystermen of Pointe à la Hache,0
14402,Documentary,106537,2008-12-31,Michael Jackson: Life of a Superstar,0
36210,Comedy,215797,1971-01-01,The Thorn,0
42767,Comedy,40748,2004-11-22,"Al Murray, The Pub Landlord - Glass of White Wine for the Lady",0
31890,Horror,239628,2004-11-26,Dead End Road,0
37492,TV Movie,367275,2015-11-08,Jare vs. Cheek,0
23892,Action,120212,1980-10-19,Blade on the Feather,0
45246,Comedy,231216,2004-12-02,Villa Henriette,0
25852,Comedy,216736,1971-01-01,Lady Liberty,0
39214,Drama,169357,1988-10-26,The Bengali Night,0
36402,Documentary,370168,2015-11-08,Chicago Boys,0
23698,Drama,335340,1980-11-12,Le Rebelle,0
20130,Documentary,100532,2012-06-01,Sun Kissed,0
3161,Drama,121940,2000-02-04,Knockout,0
566,Drama,95743,1994-07-29,Foreign Student,0
27452,Drama,55321,1980-11-17,The Diary of Anne Frank,0
32284,TV Movie,252724,2000-02-07,Mary and Rhoda,0
42748,Comedy,376599,2015-11-13,Miles Jupp: Is The Chap You're Thinking Of,0
38466,Drama,240968,1970-12-03,The Red Detachment of Women,0
39622,History,300949,1980-11-23,The Man with the Carnation,0
45273,Drama,467731,1956-02-19,Tragedy in a Temporary Town,0
45023,Documentary,448992,1964-02-05,Encounter with Fritz Lang,0
40935,Comedy,194757,1970-12-01,The Sidelong Glances of a Pigeon Kicker,0
37630,Adventure,88665,1970-11-28,The Snake God,0
5017,Drama,56133,1964-01-01,Black Like Me,0
25239,Comedy,252721,1955-12-13,An Alligator Named Daisy,0
24145,Drama,358724,2014-04-04,The Other One,0
863,Thriller,253632,1988-10-08,Baton Rouge,0
32816,Drama,241739,2012-07-07,Hell and Mr Fudge,0
44299,Drama,450225,2016-01-01,How Not to Work & Claim Benefits... (and Other Useful Information for Wasters),0
25419,Drama,146121,1970-10-01,The Baby Maker,0
40684,Drama,380007,2016-01-01,Everybody's Fine,0
19537,Documentary,170263,1998-01-31,Ingmar Bergman on Life and Work,0
22920,Crime,266373,1955-09-14,Bengazi,0
42605,Comedy,380058,2016-01-01,Matt Besser: Besser Breaks The Record,0
21636,Documentary,63383,2008-10-06,The Story of Maths,0
19449,Comedy,48654,2002-01-01,Puckoon,0
22462,Drama,290075,2008-10-02,Modern Boy,0
24942,Action,128606,1955-09-01,The Gun That Won the West,0
15850,War,54720,2008-10-01,Killing Kasztner,0
36658,Documentary,201639,2008-10-01,Bloody Mondays & Strawberry Pies,0
33102,Animation,312963,2012-07-05,Macropolis,0
28079,Drama,47208,2000-02-27,Freedom Song,0
39431,Documentary,211222,2008-10-01,The Wildman of Kentucky: The Mystery of Panther Rock,0
3108,Music,123277,2000-02-28,Hellhounds on My Trail: The Afterlife of Robert Johnson,0
23038,Drama,394403,2014-03-21,Schwestern,0
42876,Comedy,21587,1996-01-01,Jon Stewart: Unleavened,0
28757,Drama,94468,1970-09-23,Pieces of Dreams,0
17670,Documentary,421510,1970-09-14,Street Scenes,0
29481,Documentary,336018,2014-03-20,Finding Gastón,0
10593,Documentary,61340,2002-01-01,Beyond the Gates of Splendor,0
15918,Comedy,110502,1955-08-02,The Private War of Major Benson,0
14804,Comedy,252407,1988-09-14,Me and Him,0
24688,Comedy,134688,2012-07-14,D.L. Hughley: Reset,0
7555,Comedy,101363,1998-01-23,The Wonderful Ice Cream Suit,0
23182,Drama,67633,1988-09-10,Maternal Half-Brothers,0
28559,Crime,216876,1955-08-25,Unchained,0
38203,Documentary,357313,2015-12-31,Frank and the Wondercat,0
38713,Documentary,119430,2012-07-02,Owned & Operated,0
22376,Western,149725,1970-10-20,Wild Women,0
14746,Crime,147692,1981-01-12,"The Oil, the Baby and the Transylvanians",0
32727,Romance,357130,1955-11-30,Tom and Jerry,0
34208,Drama,68756,1970-11-05,Comrades,0
42013,Drama,380771,1970-10-30,Bartleby,0
13856,Comedy,242737,1955-11-26,Irena do domu!,0
36693,Thriller,92988,1996-01-01,Die Totale Therapie,0
36183,Horror,122052,2005-01-01,Creature from the Hillbilly Lagoon,0
40823,Romance,391934,1981-02-01,Sense and Sensibility,0
42754,Comedy,374174,2015-12-10,Elliott Morgan: Premature,0
36039,Comedy,83617,2008-10-23,Fluke,0
29643,Action,2192,1964-03-28,Temple of the White Elephant,0
42991,Animation,421962,2015-12-13,Lily  & the Snowman,0
39940,Comedy,42560,2005-01-01,American Fusion,0
40422,Drama,133569,2012-06-22,Rat Fever,0
8248,Drama,43743,2002-01-01,Fabled,0
39087,Documentary,384130,2014-04-02,Monkey Planet,0
27852,Documentary,116649,2012-06-26,What Is This Film Called Love?,0
18562,Music,126016,2008-10-18,Johnny Cash at Folsom Prison,0
24901,Drama,39298,2005-01-01,Frozen Days,0
23323,Documentary,272525,2008-10-15,Henry Kissinger: Secrets of a Superpower,0
13488,Documentary,30906,2008-10-15,Frontrunners,0
35473,Comedy,373976,2015-12-23,The PHD Movie 2,0
35342,Documentary,139230,2008-10-13,The Return of the War Room,0
45150,Drama,67431,1955-10-18,Hi-Jack Highway,0
39496,Comedy,342213,1981-03-20,La caliente niña Julietta,0
22686,Comedy,36299,1996-01-01,The Grave,0
32726,Comedy,281124,1955-10-05,Screen Directors Playhouse:  Meet the Governor,0
23792,Comedy,114577,2012-06-26,C'mon Man,0
7198,Documentary,66660,2002-01-01,How to Draw a Bunny,0
38414,Documentary,388055,2002-01-31,The Next Industrial Revolution,0
37092,Western,141010,1971-08-11,And the Crows Will Dig Your Grave,0
24154,Documentary,264767,2014-04-21,Misconception,0
28038,Comedy,104413,1988-12-01,Screwball Hotel,0
35423,Drama,313676,2009-02-28,Waiting for Good News,0
36020,Western,150708,1971-06-26,Terrible Day of the Big Gundown,0
22549,Comedy,101352,2012-03-21,L'Antisémite,0
44809,Western,104297,1971-06-22,Scandalous John,0
33558,Drama,265760,2000-01-09,Death of a Salesman,0
39971,Science Fiction,267506,1971-06-18,UFO - Distruggete base Luna!,0
32446,Comedy,262782,2014-05-15,Boys in Brazil,0
38143,Romance,363354,2015-10-05,Library Wars: The Last Mission,0
42745,Comedy,422548,2015-10-06,Jimmy Dore: Sentenced To Live,0
707,Drama,131232,2002-03-20,Two Friends,0
28457,Documentary,41934,1989-01-01,Heavy Petting,0
26797,TV Movie,263032,1992-04-26,Miss Rose White,0
20433,Documentary,67701,2009-02-15,Right America:  Feeling Wronged,0
19851,Documentary,217724,2004-09-17,Les modèles de 'Pickpocket',0
45312,Comedy,38876,2009-02-13,"Włatcy móch. Ćmoki, Czopki i Mondzioły",0
19264,Drama,77287,1963-10-20,The Householder,0
26450,Drama,89872,2012-03-23,Musical Chairs,0
19890,Fantasy,119916,1980-02-27,The Tempest,0
21165,Fantasy,119916,1980-02-27,The Tempest,0
44396,Horror,121888,1989-01-01,Bloody Psycho,0
28963,Comedy,11207,2004-09-30,Süperseks,0
36828,Family,364387,2015-10-09,Jill And Joy's Winter,0
39968,TV Movie,87343,2002-03-17,Moms on Strike,0
31543,Documentary,219067,2012-03-26,Venti anni,0
39979,Documentary,138543,2012-03-28,A Lot Like You,0
28060,Western,150704,1971-05-29,Four Gunmen of the Holy Trinity,0
25556,Documentary,274985,1989-01-01,How Hitler Lost the War,0
33844,Action,364153,2015-10-10,Zombie Ninjas vs Black Ops,0
42049,Comedy,45782,1998-05-16,Jeff Foxworthy: Totally Committed,0
28166,Drama,293450,2014-05-08,Flow,0
17948,Drama,91391,2009-03-01,The Overbrook Brothers,0
7588,Comedy,62383,1992-04-24,Passed Away,0
34634,Drama,297466,2014-06-01,A Reunion,0
17523,Drama,85640,1963-08-21,The Caretakers,0
38141,Drama,106729,1979-11-01,Natural Enemies,0
28920,Drama,118083,1979-11-02,Promises in the Dark,0
29815,Crime,97987,1971-08-05,Human Cobras,0
25409,History,283281,1963-08-23,The Scapegoat,0
40215,Documentary,273080,2012-03-08,Fools on the Hill,0
37804,Documentary,287717,2004-09-04,Edgar G. Ulmer: The Man Off-screen,0
27436,TV Movie,43721,2009-03-26,Margaret,0
36591,Drama,258585,2004-09-08,Arvon veli,0
35848,Drama,151687,1979-12-11,Charlie Muffin,0
38591,Action,387957,1971-08-01,Clay Pigeon,0
23524,Crime,106042,1956-12-01,Rumble on the Docks,0
21004,Comedy,106263,1994-09-08,National Lampoon's Attack of the 5 Ft. 2 Women,0
19563,Documentary,197733,1998-05-27,Louise Brooks: Looking for Lulu,0
20885,Drama,106851,1979-12-16,Henry IV Part 2,0
21524,Documentary,129854,2009-03-13,"Trust Us, This Is All Made Up",0
35879,Documentary,50526,2009-03-12,Beats of Freedom,0
36802,Romance,171213,1992-04-15,Love After Love,0
35959,Documentary,134409,2012-03-11,Decoding Deepak,0
39812,War,396269,1963-09-21,Torpedo Bay,0
19711,Comedy,288117,2002-03-23,Living with the Fosters,0
741,Documentary,85778,1995-11-10,Maya Lin: A Strong Clear Vision,0
15857,Comedy,40970,2000-01-01,The Jolly Boys' Last Stand,0
31965,War,117168,2002-03-22,The Year That Trembled,0
37029,Drama,10129,1989-01-19,Herbstmilch,0
38372,Documentary,214187,2004-09-17,The Death of Kevin Carter: Casualty of the Bang Bang Club,0
39032,Drama,269306,1956-11-12,Last Pair Out,0
15574,Drama,343283,1979-12-15,I Am Maria,0
41944,Drama,95400,1992-05-05,Perry Mason: The Case of the Reckless Romeo,0
5479,Horror,318535,2002-03-11,The Mesmerist,0
19358,Documentary,110491,2012-03-30,The Manzanar Fishing Club,0
33473,Drama,297018,2014-04-27,Simshar,0
41745,Documentary,278851,2014-04-25,Slums: Cities of Tomorrow,0
34304,Horror,353813,1980-08-09,Saboot,0
34063,Horror,118427,1995-11-28,Mommy,0
29355,History,132128,2009-01-01,Voices of the Andes,0
28154,Crime,260888,1980-08-15,L'avvertimento,0
20743,Documentary,152938,2009-01-01,National Geographic: Hitler's Stealth Fighter,0
38343,Comedy,382885,1998-04-21,Very Private Lesson,0
19973,Documentary,288259,2009-01-01,No Flesh Shall Be Spared,0
40560,TV Movie,383914,1980-08-25,Tell Me,0
38291,Action,41628,2004-11-10,Max Havoc: Curse Of The Dragon,0
32118,Documentary,17401,1971-03-01,"Blue Water, White Death",0
